UNFCCC;Factor;REMIND;Unit_REMIND
1.B.1.a. Coal mining and handling|CO2;;;
1.B.1.a. Coal mining and handling|NMVOC;;;
1.B.1.b. Fuel transformation|CH4;;;
1.B.1.b. Fuel transformation|CO;;;
1.B.1.b. Fuel transformation|CO2;;;
1.B.1.b. Fuel transformation|N2O;;;
1.B.1.b. Fuel transformation|NMVOC;;;
1.B.1.b. Fuel transformation|NOX;;;
1.B.1.b. Fuel transformation|SO2;;;
1.B.1.c. Other|CH4;;;
1.B.1.c. Other|CO;;;
1.B.1.c. Other|CO2;;;
1.B.1.c. Other|N2O;;;
1.B.1.c. Other|NMVOC;;;
1.B.1.c. Other|NOX;;;
1.B.1.c. Other|SO2;;;
1.B.2. Oil and natural gas and other emissions from energy production|CH4;;;
1.B.2. Oil and natural gas and other emissions from energy production|CO;;;
1.B.2. Oil and natural gas and other emissions from energy production|CO2;;;
1.B.2. Oil and natural gas and other emissions from energy production|N2O;;;
1.B.2. Oil and natural gas and other emissions from energy production|NMVOC;;;
1.B.2. Oil and natural gas and other emissions from energy production|NOX;;;
1.B.2. Oil and natural gas and other emissions from energy production|SO2;;;
1.B.2.a. Oil|CH4;;;
1.B.2.a. Oil|CO;;;
1.B.2.a. Oil|CO2;;;
1.B.2.a. Oil|N2O;;;
1.B.2.a. Oil|NMVOC;;;
1.B.2.a. Oil|NOX;;;
1.B.2.a. Oil|SO2;;;
1.B.2.b. Natural gas|CH4;;;
1.B.2.b. Natural gas|CO2;;;
1.B.2.b. Natural gas|NMVOC;;;
1.B.2.b. Natural gas|SO2;;;
1.B.2.c. Venting and flaring|CH4;;;
1.B.2.c. Venting and flaring|CO;;;
1.B.2.c. Venting and flaring|CO2;;;
1.B.2.c. Venting and flaring|N2O;;;
1.B.2.c. Venting and flaring|NMVOC;;;
1.B.2.c. Venting and flaring|NOX;;;
1.B.2.c. Venting and flaring|SO2;;;
1.B.2.d. Other|CH4;;;
1.B.2.d. Other|CO;;;
1.B.2.d. Other|CO2;;;
1.B.2.d. Other|N2O;;;
1.B.2.d. Other|NMVOC;;;
1.B.2.d. Other|NOX;;;
1.B.2.d. Other|SO2;;;
1.D.1. International bunkers|CH4;0.001;Emi|CH4|Energy|Demand|Transport|International Bunkers;Mt CH4/yr
1.D.1. International bunkers|CO;;;
1.D.1. International bunkers|CO2;0.001;Emi|CO2|Energy|Demand|Transport|International Bunkers;Mt CO2/yr
1.D.1. International bunkers|N2O;1;Emi|N2O|Energy|Demand|Transport|International Bunkers;kt N2O/yr
1.D.1. International bunkers|NMVOC;;;
1.D.1. International bunkers|NOX;;;
1.D.1. International bunkers|SO2;;;
1.D.1.a. Aviation|CH4;0.001;Emi|CH4|Transport|Pass|Aviation|International|Demand;Mt CH4/yr
1.D.1.a. Aviation|CO;;;
1.D.1.a. Aviation|CO2;0.001;Emi|CO2|Transport|Pass|Aviation|International|Demand;Mt CO2/yr
1.D.1.a. Aviation|N2O;1;Emi|N2O|Transport|Pass|Aviation|International|Demand;kt N2O/yr
1.D.1.a. Aviation|NMVOC;;;
1.D.1.a. Aviation|NOX;;;
1.D.1.a. Aviation|SO2;;;
1.D.1.b. Navigation|CH4;0.001;Emi|CH4|Transport|Freight|International Shipping|Demand;Mt CH4/yr
1.D.1.b. Navigation|CO2;0.001;Emi|CO2|Transport|Freight|International Shipping|Demand;Mt CO2/yr
1.D.1.b. Navigation|N2O;1;Emi|N2O|Transport|Freight|International Shipping|Demand;kt N2O/yr
1.D.2. Multilateral operations|CH4;;;
1.D.2. Multilateral operations|CO;;;
1.D.2. Multilateral operations|CO2;;;
1.D.2. Multilateral operations|N2O;;;
1.D.2. Multilateral operations|NMVOC;;;
1.D.2. Multilateral operations|NOX;;;
1.D.2. Multilateral operations|SO2;;;
1.D.3. CO2 emissions from biomass|CO2;;;
1.D.4. CO2 captured|CO2;-0.001;Carbon Management|Carbon Sinks|Storage;Mt CO2/yr
1.D.4.a. For domestic storage|CO2;;;
2. Industrial processes and product use|CH4;;;
2. Industrial processes and product use|CO2;;;
2. Industrial processes and product use|N2O;;;
2. Total industrial processes|CH4;0.001;Emi|CH4|Industrial Processes;Mt CH4/yr
2. Total industrial processes|CO2;0.001;Emi|CO2|Industrial Processes;Mt CO2/yr
2. Total industrial processes|N2O;1;Emi|N2O|Industrial Processes;kt N2O/yr
2.A. Mineral industry|CO2;0.001;Emi|CO2|Industrial Processes|Minerals;Mt CO2/yr
2.A.1. Cement production|CO2;;;
2.A.2. Lime production|CO2;;;
2.A.3. Glass production|CO2;;;
2.A.4. Other process uses of carbonates|CO2;;;
2.B. Chemical industry|CH4;0.001;Emi|CH4|Industrial Processes|Chemicals;Mt CH4/yr
2.B. Chemical industry|CO2;0.001;Emi|CO2|Industrial Processes|Chemicals;Mt CO2/yr
2.B. Chemical industry|N2O;1;Emi|N2O|Industrial Processes|Chemicals;kt N2O/yr
2.B.1. Ammonia production|CH4;;;
2.B.1. Ammonia production|CO2;;;
2.B.1. Ammonia production|N2O;;;
2.B.10. Other|CH4;;;
2.B.10. Other|CO2;;;
2.B.10. Other|N2O;;;
2.B.2. Nitric acid production|N2O;;;
2.B.3. Adipic acid production|CO2;;;
2.B.3. Adipic acid production|N2O;;;
2.B.4. Caprolactam, glyoxal and glyoxylic acid production|N2O;;;
2.B.5. Carbide production|CH4;;;
2.B.5. Carbide production|CO2;;;
2.B.6. Titanium dioxide production|CO2;;;
2.B.7. Soda ash production|CO2;;;
2.B.8. Petrochemical and carbon black production|CH4;;;
2.B.8. Petrochemical and carbon black production|CO2;;;
2.C. Metal industry|CH4;0.001;Emi|CH4|Industrial Processes|Metals;Mt CH4/yr
2.C. Metal industry|CO2;0.001;Emi|CO2|Industrial Processes|Metals;Mt CO2/yr
2.C. Metal industry|N2O;1;Emi|N2O|Industrial Processes|Metals;kt N2O/yr
2.C.1. Iron and steel production|CH4;;;
2.C.1. Iron and steel production|CO2;;;
2.C.2. Ferroalloys production|CH4;;;
2.C.2. Ferroalloys production|CO2;;;
2.C.3. Aluminium production|CO2;;;
2.C.5. Lead production|CO2;;;
2.C.6. Zinc production|CO2;;;
2.C.7. Other|CO2;;;
2.C.7. Other|N2O;;;
2.D. Non-energy products from fuels and solvent use|CH4;;;
2.D. Non-energy products from fuels and solvent use|CO2;;;
2.D. Non-energy products from fuels and solvent use|N2O;;;
2.D.1. Lubricant use|CH4;;;
2.D.1. Lubricant use|CO2;;;
2.D.1. Lubricant use|N2O;;;
2.D.2. Paraffin wax use|CH4;;;
2.D.2. Paraffin wax use|CO2;;;
2.D.2. Paraffin wax use|N2O;;;
2.D.3. Other|CH4;;;
2.D.3. Other|CO2;;;
2.D.3. Other|N2O;;;
2.G. Other product manufacture and use|CH4;;;
2.G. Other product manufacture and use|CO2;;;
2.G. Other product manufacture and use|N2O;;;
2.G.3. N2O from product uses|N2O;;;
2.G.4. Other|CH4;;;
2.G.4. Other|CO2;;;
2.G.4. Other|N2O;;;
2.H. Other|CH4;;;
2.H. Other|CO2;;;
2.H. Other|N2O;;;
2.H.1. Pulp and paper|CH4;;;
2.H.1. Pulp and paper|CO2;;;
2.H.1. Pulp and paper|N2O;;;
2.H.2. Food and beverages industry|CO2;;;
2.H.3. Other|CO2;;;
2.H.3. Other|N2O;;;
3. Agriculture|CH4;0.001;Emi|CH4|Agriculture;Mt CH4/yr
3. Agriculture|CO2;0.001;Emi|CO2|Agriculture;Mt CO2/yr
3. Agriculture|N2O;1;Emi|N2O|Agriculture;kt N2O/yr
3. Total agriculture|CH4;;;
3. Total agriculture|CO2;;;
3. Total agriculture|N2O;;;
3.A. Enteric fermentation|CH4;0.001;Emi|CH4|Enteric Fermentation;Mt CH4/yr
3.A. Enteric fermentation|CH4;0.001;Emi|CH4|Agriculture|Livestock;Mt CH4/yr
3.A.1. Cattle|CH4;;;
3.A.1.a. Dairy cattle|CH4;;;
3.A.1.b. Non-dairy cattle|CH4;;;
3.A.2. Sheep|CH4;;;
3.A.3. Swine|CH4;;;
3.A.4. Other livestock|CH4;;;
3.B. Manure management|CH4;0.001;Emi|CH4|Agriculture|Manure Management;Mt CH4/yr
3.B. Manure management|CH4;0.001;Emi|CH4|Agriculture|Livestock;Mt CH4/yr
3.B. Manure management|N2O;1;Emi|N2O|Agriculture|Manure Management;kt N2O/yr
3.B. Manure management|N2O;1;Emi|N2O|Agriculture|Livestock;kt N2O/yr
3.B.1. Cattle|CH4;;;
3.B.1. Cattle|N2O;;;
3.B.1.a. Dairy cattle|CH4;;;
3.B.1.a. Dairy cattle|N2O;;;
3.B.1.b. Non-dairy cattle|CH4;;;
3.B.1.b. Non-dairy cattle|N2O;;;
3.B.2. Sheep|CH4;;;
3.B.2. Sheep|N2O;;;
3.B.3. Swine|CH4;;;
3.B.3. Swine|N2O;;;
3.B.4. Other livestock|CH4;;;
3.B.4. Other livestock|N2O;;;
3.B.5. Indirect N2O emissions|N2O;;;
3.C. Rice cultivation|CH4;;;
3.D. Agricultural soils|N2O;;;
3.D.1. Direct N2O emissions from managed soils|N2O;;;
3.D.1.a. Inorganic N fertilizers|N2O;;;
3.D.1.b. Organic N fertilizers|N2O;;;
3.D.1.c. Urine and dung deposited by grazing animals|N2O;;;
3.D.1.d. Crop residues|N2O;;;
"3.D.1.e. Mineralization/immobilization associated
 with loss/gain of soil organic matter|N2O";;;
"3.D.1.e. Mineralization/immobilization associated
 with loss/gain of soil organic matter|N2O";;;
3.D.1.f. Cultivation of organic soils|N2O;;;
3.D.2. Indirect N2O Emissions from managed soils|N2O;;;
3.F. Field burning of agricultural residues|CH4;;;
3.F. Field burning of agricultural residues|N2O;;;
3.G. Liming|CO2;;;
3.H. Urea application|CO2;;;
3.I. Other carbon-containing fertilizers|CO2;;;
3.J. Other|CH4;;;
3.J. Other|N2O;;;
4. Land use, land-use change and forestry|CH4;0.001;Emi|CH4|Land-Use Change|LULUCF national accounting;Mt CH4/yr
4. Land use, land-use change and forestry|CO2;0.001;Emi|CO2|Land-Use Change|LULUCF national accounting;Mt CO2/yr
4. Land use, land-use change and forestry|N2O;1;Emi|N2O|Land-Use Change|LULUCF national accounting;kt N2O/yr
4. Total LULUCF|CH4;;;
4. Total LULUCF|CO2;;;
4. Total LULUCF|N2O;;;
4.A. Forest land|CH4;;;
4.A. Forest land|CO2;;;
4.A. Forest land|N2O;;;
4.A.1. Forest land remaining forest land|CH4;;;
4.A.1. Forest land remaining forest land|CO2;;;
