"REMIND";"Variable";"factor";"remark"
"FE|Transport|Freight|Liquids (EJ/yr)";"Final Energy|Transportation|Freight|Liquids (PJ/yr)";0.001;
"NA";"Final Energy|Transportation|Freight|Other (PJ/yr)";"NA";
"FE|Transport|Freight|Shipping (EJ/yr)";"Final Energy|Transportation|Freight|Ship (PJ/yr)";0.001;
"NA";"Final Energy|Transportation|Freight|Ship|Electricity (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|Ship|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|Ship|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|Ship|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|Ship|Solids (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|Solids (PJ/yr)";"NA";
"FE|Transport|Freight|Rail (EJ/yr)";"Final Energy|Transportation|Freight|Train (PJ/yr)";0.001;
"NA";"Final Energy|Transportation|Freight|Train|Electricity (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|Train|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|Train|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|Train|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|Train|Solids (PJ/yr)";"NA";
"FE|Transport|Freight|Road (EJ/yr)";"Final Energy|Transportation|Freight|Trucks (PJ/yr)";0.001;
"FE|Transport|Freight|Road|Electricity (EJ/yr)";"Final Energy|Transportation|Freight|Trucks|Electricity (PJ/yr)";0.001;
"NA";"Final Energy|Transportation|Freight|Trucks|Gases (PJ/yr)";"NA";
"FE|Transport|Freight|Road|Hydrogen (EJ/yr)";"Final Energy|Transportation|Freight|Trucks|Hydrogen (PJ/yr)";0.001;
"FE|Transport|Freight|Road|Liquids (EJ/yr)";"Final Energy|Transportation|Freight|Trucks|Liquids (PJ/yr)";0.001;
"NA";"Final Energy|Transportation|Freight|within Europe (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|within Europe|Electricty (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|within Europe|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|within Europe|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|within Europe|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Freight|within Europe|Solids (PJ/yr)";"NA";
"FE|Transport|Gases (EJ/yr)";"Final Energy|Transportation|Gases (PJ/yr)";0.001;
"NA";"Final Energy|Transportation|Other (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|Domestic Airplane (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|Domestic Airplane|Electricity (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|Domestic Airplane|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|Domestic Airplane|Liquids (PJ/yr)";"NA";
"FE|Transport|Pass|Gases (EJ/yr)";"Final Energy|Transportation|Passenger|Gases (PJ/yr)";0.001;
"NA";"Final Energy|Transportation|Passenger|HDV|Electricity (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|HDV|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|HDV|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|HDV|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|International (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|International|Electricty (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|International|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|International|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|International|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|International|Solids (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|LDV|Gases (PJ/yr)";"NA";
"FE|Transport|Pass|Liquids (EJ/yr)";"Final Energy|Transportation|Passenger|Liquids (PJ/yr)";0.001;
"NA";"Final Energy|Transportation|Passenger|Ship (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|Ship|Electricity (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|Ship|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|Ship|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|Ship|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|Ship|Solids (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|Solids (PJ/yr)";"NA";
"FE|Transport|Pass|Rail (EJ/yr)";"Final Energy|Transportation|Passenger|Train (PJ/yr)";0.001;
"NA";"Final Energy|Transportation|Passenger|Train|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|Train|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|Train|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|Train|Solids (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|within Europe (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|within Europe|Electricty (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|within Europe|Gases (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|within Europe|Hydrogen (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|within Europe|Liquids (PJ/yr)";"NA";
"NA";"Final Energy|Transportation|Passenger|within Europe|Solids (PJ/yr)";"NA";
"NA";"Price|Carbon|ETS (EUR2015/t CO2)";"NA";
"NA";"Price|Carbon|EU-wide Regulation Non-ETS (EUR2015/t CO2)";"NA";
"NA";"Price|Carbon|National Climate Target (EUR2015/t CO2)";"NA";
"NA";"Price|Carbon|National Climate Target Non-ETS (EUR2015/t CO2)";"NA";
"NA";"Price|Carbon|Net|Electricity (EUR2015/t CO2)";"NA";
"NA";"Price|Carbon|Net|Industry (EUR2015/t CO2)";"NA";
"NA";"Price|Carbon|Net|Residential and Commercial (EUR2015/t CO2)";"NA";
"NA";"Price|Final Energy|Transportation|Freight|Electricity (EUR2015/GJ)";"NA";
"NA";"Price|Final Energy|Transportation|Freight|Gases (EUR2015/GJ)";"NA";
"NA";"Price|Final Energy|Transportation|Freight|Hydrogen (EUR2015/GJ)";"NA";
"NA";"Price|Final Energy|Transportation|Freight|Liquids (EUR2015/GJ)";"NA";
"NA";"Price|Final Energy|Transportation|Freight|Solids (EUR2015/GJ)";"NA";
"NA";"Price|Final Energy|Transportation|Passenger|Electricity (EUR2015/GJ)";"NA";
"NA";"Price|Final Energy|Transportation|Passenger|Gases (EUR2015/GJ)";"NA";
"NA";"Price|Final Energy|Transportation|Passenger|Hydrogen (EUR2015/GJ)";"NA";
"NA";"Price|Final Energy|Transportation|Passenger|Liquids (EUR2015/GJ)";"NA";
"NA";"Price|Final Energy|Transportation|Passenger|Solids (EUR2015/GJ)";"NA";
"NA";"Primary Energy|Biomass|Gases|w/ CCS (PJ/yr)";"NA";
"NA";"Primary Energy|Biomass|Gases|w/o CCS (PJ/yr)";"NA";
"NA";"Primary Energy|Biomass|Other (PJ/yr)";"NA";
"NA";"Primary Energy|Coal|Other (PJ/yr)";"NA";
"NA";"Primary Energy|Gas|Other (PJ/yr)";"NA";
"NA";"Primary Energy|Ocean (PJ/yr)";"NA";
"NA";"Primary Energy|Oil|Electricity (PJ/yr)";"NA";
"NA";"Primary Energy|Oil|Heat (PJ/yr)";"NA";
"NA";"Primary Energy|Oil|Hydrogen (PJ/yr)";"NA";
"NA";"Primary Energy|Oil|Liquids (PJ/yr)";"NA";
"NA";"Primary Energy|Oil|Other (PJ/yr)";"NA";
"NA";"Primary Energy|Oil|w/ CCS (PJ/yr)";"NA";
"NA";"Primary Energy|Other (PJ/yr)";"NA";
"NA";"Secondary Energy|Electricity|Coal|Hard Coal (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Coal|Lignite (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Curtailment (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Gas|CC (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Gas|CC|w/ CCS (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Gas|OC (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Hydrogen|CC (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Hydrogen|FC (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Hydrogen|OC (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Losses (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Net Imports (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Ocean (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Other (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Storage (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Storage Losses (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Transmission Losses (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Wind|Offshore (TWh/yr)";"NA";
"NA";"Secondary Energy|Electricity|Wind|Onshore (TWh/yr)";"NA";
"SE|Gases|Hydrogen (EJ/yr)";"Secondary Energy|Gases|Hydrogen (PJ/yr)";0.001;
"NA";"Secondary Energy|Gases|Other (PJ/yr)";"NA";
"NA";"Secondary Energy|Heat|Biomass|w/ CCS (PJ/yr)";"NA";
"NA";"Secondary Energy|Heat|Biomass|w/o CCS (PJ/yr)";"NA";
"NA";"Secondary Energy|Heat|Electricity|Heat Pumps (PJ/yr)";"NA";
"NA";"Secondary Energy|Heat|Electricity|Resistive (PJ/yr)";"NA";
"NA";"Secondary Energy|Heat|Nuclear (PJ/yr)";"NA";
"NA";"Secondary Energy|Heat|Oil (PJ/yr)";"NA";
"NA";"Secondary Energy|Heat|Other (PJ/yr)";"NA";
"NA";"Secondary Energy|Heat|Solar (PJ/yr)";"NA";
"NA";"Secondary Energy|Hydrogen|Nuclear (PJ/yr)";"NA";
"NA";"Secondary Energy|Hydrogen|Oil (PJ/yr)";"NA";
"NA";"Secondary Energy|Hydrogen|Other (PJ/yr)";"NA";
"NA";"Secondary Energy|Hydrogen|Solar (PJ/yr)";"NA";
"SE|Liquids|Hydrogen (EJ/yr)";"Secondary Energy|Liquids|Hydrogen (PJ/yr)";0.001;
"NA";"Secondary Energy|Liquids|Other (PJ/yr)";"NA";
"NA";"Secondary Energy|Other Carrier (PJ/yr)";"NA";
"NA";"Services and Products|Industry|Cement|Physical (Mt/yr)";"NA";
"NA";"Services and Products|Industry|Chemicals|Value Added (EUR2015/yr)";"NA";
"NA";"Services and Products|Industry|Other Industries|Value Added (EUR2015/yr)";"NA";
"NA";"Services and Products|Industry|Steel|Physical (Mt/yr)";"NA";
"NA";"Services and Products|Transportation|Freight|Domestic Airplane (Gtkm/yr)";"NA";
"NA";"Services and Products|Transportation|Freight|International (Gtkm/yr)";"NA";
"NA";"Services and Products|Transportation|Freight|Other (Gtkm/yr)";"NA";
"NA";"Services and Products|Transportation|Freight|Ship (Gtkm/yr)";"NA";
"NA";"Services and Products|Transportation|Freight|Train (Gtkm/yr)";"NA";
"NA";"Services and Products|Transportation|Freight|Trucks (Gtkm/yr)";"NA";
"NA";"Services and Products|Transportation|Freight|within Europe (Gtkm/yr)";"NA";
"NA";"Services and Products|Transportation|Passenger|Domestic Airplane (Gpkm/yr)";"NA";
"NA";"Services and Products|Transportation|Passenger|International (Gpkm/yr)";"NA";
"NA";"Services and Products|Transportation|Passenger|Other (Gpkm/yr)";"NA";
"NA";"Services and Products|Transportation|Passenger|Ship (Gpkm/yr)";"NA";
"NA";"Services and Products|Transportation|Passenger|Train (Gpkm/yr)";"NA";
"NA";"Services and Products|Transportation|Passenger|within Europe (Gpkm/yr)";"NA";
"NA";"Total Energy System Cost|CO2 Costs (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Energy Supply (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Energy Supply|CO2 Costs (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Energy Supply|Fuel Costs (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Energy Supply|Investments (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Energy Supply|O&M Costs (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Energy Supply|Trade Costs (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Fuel Costs (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Investments (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Power Sector|CO2 Costs (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Power Sector|Fuel Costs (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Power Sector|Investments (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Power Sector|O&M Costs (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Power Sector|Trade Costs (billion EUR2015/yr)";"NA";
"NA";"Total Energy System Cost|Trade Costs (billion EUR2015/yr)";"NA";
"NA";"Trade|Secondary Energy|Electricity|Volume (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Appliances and Lighting|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Appliances and Lighting|Heat (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Appliances and Lighting|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Appliances and Lighting|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Appliances and Lighting|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Cooking (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Cooking|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Cooking|Electricity|Heat Pumps (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Cooking|Electricity|Resistive (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Cooking|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Cooking|Heat (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Cooking|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Cooking|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Cooking|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Space Cooling|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Space Cooling|Heat (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Space Cooling|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Space Cooling|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Space Cooling|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Water Heating (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Water Heating|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Water Heating|Electricity|Heat Pumps (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Water Heating|Electricity|Resistive (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Water Heating|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Water Heating|Heat (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Water Heating|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Water Heating|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Residential and Commercial|Water Heating|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Domestic Airplane (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Domestic Airplane|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Domestic Airplane|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Domestic Airplane|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|International (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|International|Electricty (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|International|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|International|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|International|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|International|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Other (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Ship (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Ship|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Ship|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Ship|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Ship|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Ship|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Train (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Train|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Train|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Train|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Train|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Train|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Trucks (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Trucks|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Trucks|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Trucks|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|Trucks|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|within Europe (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|within Europe|Electricty (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|within Europe|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|within Europe|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|within Europe|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Freight|within Europe|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Other (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Domestic Airplane (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Domestic Airplane|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Domestic Airplane|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Domestic Airplane|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|HDV (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|HDV|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|HDV|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|HDV|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|HDV|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|International (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|International|Electricty (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|International|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|International|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|International|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|International|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|LDV (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|LDV|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|LDV|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|LDV|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|LDV|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Ship (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Ship|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Ship|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Ship|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Ship|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Ship|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Train (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Train|Electricity (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Train|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Train|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Train|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|Train|Solids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|within Europe (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|within Europe|Electricty (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|within Europe|Gases (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|within Europe|Hydrogen (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|within Europe|Liquids (PJ/yr)";"NA";
"NA";"Useful Energy|Transportation|Passenger|within Europe|Solids (PJ/yr)";"NA";
"NA";"Capacity Additions|Electricity (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Biomass (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Biomass|w/ CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Biomass|w/o CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Coal (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Coal|w/ CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Coal|w/o CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Gas (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Gas|CC|w/ CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Gas|CC|w/o CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Gas|w/ CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Gas|w/o CCS (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Hydro (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Hydrogen (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Nuclear (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Solar (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Solar|CSP (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Solar|PV (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Wind (GW/yr)";"NA";"zero values in source"
"NA";"Capacity Additions|Electricity|Wind|Onshore (GW/yr)";"NA";"zero values in source"
"OandM costs (billion US$2005/yr)";"Total Energy System Cost|O&M Costs (billion EUR2015/yr)";0.9259259;
"PE (EJ/yr)";"Primary Energy (PJ/yr)";0.001;
"PE|Biomass (EJ/yr)";"Primary Energy|Biomass (PJ/yr)";0.001;
"PE|Biomass|Electricity (EJ/yr)";"Primary Energy|Biomass|Electricity (PJ/yr)";0.001;
"PE|Biomass|Electricity|w/ CC (EJ/yr)";"Primary Energy|Biomass|Electricity|w/ CCS (PJ/yr)";0.001;
"PE|Biomass|Electricity|w/o CC (EJ/yr)";"Primary Energy|Biomass|Electricity|w/o CCS (PJ/yr)";0.001;
"PE|Biomass|Gases (EJ/yr)";"Primary Energy|Biomass|Gases (PJ/yr)";0.001;
"PE|Biomass|Heat (EJ/yr)";"Primary Energy|Biomass|Heat (PJ/yr)";0.001;
"PE|Biomass|Hydrogen (EJ/yr)";"Primary Energy|Biomass|Hydrogen (PJ/yr)";0.001;
"PE|Biomass|Hydrogen|w/ CC (EJ/yr)";"Primary Energy|Biomass|Hydrogen|w/ CCS (PJ/yr)";0.001;
"PE|Biomass|Hydrogen|w/o CC (EJ/yr)";"Primary Energy|Biomass|Hydrogen|w/o CCS (PJ/yr)";0.001;
"PE|Biomass|Liquids (EJ/yr)";"Primary Energy|Biomass|Liquids (PJ/yr)";0.001;
"PE|Biomass|Liquids|w/ CC (EJ/yr)";"Primary Energy|Biomass|Liquids|w/ CCS (PJ/yr)";0.001;
"PE|Biomass|Liquids|w/o CC (EJ/yr)";"Primary Energy|Biomass|Liquids|w/o CCS (PJ/yr)";0.001;
"PE|Biomass|Solids (EJ/yr)";"Primary Energy|Biomass|Solids (PJ/yr)";0.001;
"PE|Biomass|w/ CC (EJ/yr)";"Primary Energy|Biomass|w/ CCS (PJ/yr)";0.001;
"PE|Biomass|w/o CC (EJ/yr)";"Primary Energy|Biomass|w/o CCS (PJ/yr)";0.001;
"PE|Coal (EJ/yr)";"Primary Energy|Coal (PJ/yr)";0.001;
"PE|Coal|Electricity (EJ/yr)";"Primary Energy|Coal|Electricity (PJ/yr)";0.001;
"PE|Coal|Electricity|w/ CC (EJ/yr)";"Primary Energy|Coal|Electricity|w/ CCS (PJ/yr)";0.001;
"PE|Coal|Electricity|w/o CC (EJ/yr)";"Primary Energy|Coal|Electricity|w/o CCS (PJ/yr)";0.001;
"PE|Coal|Gases (EJ/yr)";"Primary Energy|Coal|Gases (PJ/yr)";0.001;
"PE|Coal|Heat (EJ/yr)";"Primary Energy|Coal|Heat (PJ/yr)";0.001;
