"REMIND_variable";"Comment";"JRC_variable";"JRC_Excel";"JRC_spreadsheet";"JRC_line ";"Weight";"Unit_REMIND";"Unit_JRC";"Factor";"JRC_complete"
"FE|Industry|Liquids|other";"Energy consumption ";"Liquids";"JRC-IDEES-2015_Industry_";"Ind_Summary";33;1;"EJ/yr";"ktoe";4.1868E-05;"Industry Summary|Energy consumption|by fuel (EUROSTAT DATA)|Liquids"
"FE|Industry|Liquids|other";"Energy consumption ";"Liquid biofuels";"JRC-IDEES-2015_Industry_";"Ind_Summary";45;1;"EJ/yr";"ktoe";4.1868E-05;"Industry Summary|Energy consumption|by fuel (EUROSTAT DATA)|RES and wastes|Liquid biofuels"
"FE|Industry|Liquids|other";"Non-energy use";"Liquids";"JRC-IDEES-2015_Industry_";"Ind_Summary";82;1;"EJ/yr";"ktoe";4.1868E-05;"Industry Summary|Non-energy use|by fuel (EUROSTAT DATA)|Liquids"
"FE|Industry|Liquids|other";"Agriculture/Forestry/Fishing";"Total petroleum products (without biofuels)";"JRC-IDEES-2015_EnergyBalance_";"cagr";21;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Agriculture+Forestry+Fishing|Total petroleum products (without biofuels)"
"FE|Industry|Liquids|other";"Agriculture/Forestry/Fishing";"Liquid biofuels";"JRC-IDEES-2015_EnergyBalance_";"cagr";73;1;"EJ/yr";"ktoe";4.1868E-05;"Energy|Agriculture+Forestry+Fishing|Liquid biofuels"
"FE|Industry|Liquids|other";"Chemicals (including feedstocks)";"Diesel oil (incl. biofuels)";"JRC-IDEES-2015_Industry_";"CHI_fec";11;-1;"EJ/yr";"ktoe";4.1868E-05;"Chemicals Industry|Final Energy Consumption|Basic chemicals|Low enthalpy heat|Diesel oil (incl. biofuels)"
"FE|Industry|Liquids|other";"Chemicals (including feedstocks)";"LPG";"JRC-IDEES-2015_Industry_";"CHI_fec";27;-1;"EJ/yr";"ktoe";4.1868E-05;"Chemicals Industry|Final Energy Consumption|Basic chemicals|Chemicals: Steam processing|LPG"
"FE|Industry|Liquids|other";"Chemicals (including feedstocks)";"Diesel oil (incl. biofuels)";"JRC-IDEES-2015_Industry_";"CHI_fec";28;-1;"EJ/yr";"ktoe";4.1868E-05;"Chemicals Industry|Final Energy Consumption|Basic chemicals|Chemicals: Steam processing|Diesel oil (incl. biofuels) "
"FE|Industry|Liquids|other";"Chemicals (including feedstocks)";"Residual fuel oil";"JRC-IDEES-2015_Industry_";"CHI_fec";29;-1;"EJ/yr";"ktoe";4.1868E-05;"Chemicals Industry|Final Energy Consumption|Basic chemicals|Chemicals: Steam processing|Residual fuel oil "
"FE|Industry|Liquids|other";"Chemicals (including feedstocks)";"Other liquids";"JRC-IDEES-2015_Industry_";"CHI_fec";30;-1;"EJ/yr";"ktoe";4.1868E-05;"Chemicals Industry|Final Energy Consumption|Basic chemicals|Chemicals: Steam processing|Other liquids "
"FE|Industry|Liquids|other";"Chemicals (including feedstocks)";"LPG";"JRC-IDEES-2015_Industry_";"CHI_fec";38;-1;"EJ/yr";"ktoe";4.1868E-05;"Chemicals Industry|Final Energy Consumption|Basic chemicals|Chemicals: Furnaces|Chemicals: Furnaces - Thermal|LPG"
"FE|Industry|Liquids|other";"Chemicals (including feedstocks)";"Diesel oil (incl. biofuels)";"JRC-IDEES-2015_Industry_";"CHI_fec";39;-1;"EJ/yr";"ktoe";4.1868E-05;"Chemicals Industry|Final Energy Consumption|Basic chemicals|Chemicals: Furnaces|Chemicals: Furnaces - Thermal|Diesel oil (incl. biofuels)"
"FE|Industry|Liquids|other";"Chemicals (including feedstocks)";"Residual fuel oil";"JRC-IDEES-2015_Industry_";"CHI_fec";40;-1;"EJ/yr";"ktoe";4.1868E-05;"Chemicals Industry|Final Energy Consumption|Basic chemicals|Chemicals: Furnaces|Chemicals: Furnaces - Thermal|Residual fuel oil "
"FE|Industry|Liquids|other";"Chemicals (including feedstocks)";"LPG";"JRC-IDEES-2015_Industry_";"CHI_fec";48;-1;"EJ/yr";"ktoe";4.1868E-05;"Chemicals Industry|Final Energy Consumption|Basic chemicals|Chemicals: Process cooling|Chemicals: Process cooling - Steam|LPG"
