CEDS62;INTERMEDIARY;GAINS2025;CEDS16;comment
1B2_Fugitive-petr;Fossil Extraction and Distribution;Losses_Coal;Oil and Gas Fugitive/Flaring;
1B2_Fugitive-petr;Fossil Extraction and Distribution;Losses_Vent_Flare;Oil and Gas Fugitive/Flaring;
1B2b_Fugitive-NG-distr;Fossil Extraction and Distribution;Losses_Distribution_Use;Oil and Gas Fugitive/Flaring;Nothe the specific split in Gas fugitive
1B2b_Fugitive-NG-distr;Fossil Extraction and Distribution;Losses_Coal;Oil and Gas Fugitive/Flaring;
1B2b_Fugitive-NG-distr;Fossil Extraction and Distribution;Losses_Vent_Flare;Oil and Gas Fugitive/Flaring;
1B2b_Fugitive-NG-prod;Fossil Extraction and Distribution;Losses_Distribution_Use;Oil and Gas Fugitive/Flaring;
1B2b_Fugitive-NG-prod;Fossil Extraction and Distribution;Losses_Coal;Oil and Gas Fugitive/Flaring;
1B2b_Fugitive-NG-prod;Fossil Extraction and Distribution;Losses_Vent_Flare;Oil and Gas Fugitive/Flaring;
1B2d_Fugitive-other-energy;Fossil Extraction and Distribution;Losses_Distribution_Use;Oil and Gas Fugitive/Flaring;
1B2d_Fugitive-other-energy;Fossil Extraction and Distribution;Losses_Coal;Oil and Gas Fugitive/Flaring;
1B2d_Fugitive-other-energy;Fossil Extraction and Distribution;Losses_Vent_Flare;Oil and Gas Fugitive/Flaring;"Coal fugitive seems to be ""other"", don't see anywhere else"
1A4c_Agriculture-forestry-fishing;NOGAINS_Agriculture;NOGAINS_Agriculture;Residential Commercial Other - Other;
1A4a_Commercial-institutional;Commercial Services;End_Use_Services_Bio_Trad;Residential Commercial Other - Residential Commercial;
1A4a_Commercial-institutional;Commercial Services;End_Use_Services_Coal;Residential Commercial Other - Residential Commercial;
1A4b_Residential;Residential;End_Use_Residential_Bio_Mod;Residential Commercial Other - Residential Commercial;
1A4b_Residential;Residential;End_Use_Residential_Bio_Trad;Residential Commercial Other - Residential Commercial;
1A4b_Residential;Residential;End_Use_Residential_Coal;Residential Commercial Other - Residential Commercial;
1A4b_Residential;Residential;End_Use_Residential_HLF;Residential Commercial Other - Residential Commercial;
1A4b_Residential;Residential;End_Use_Residential_LLF;Residential Commercial Other - Residential Commercial;
1A4b_Residential;Residential;End_Use_Residential_NatGas;Residential Commercial Other - Residential Commercial;
1A3b_Road;Transport Domestic Ground;End_Use_Transport_HLF;Road Transportation;
1A3b_Road;Transport Domestic Ground;End_Use_Transport_LLF;Road Transportation;
1A3b_Road;Transport Domestic Ground;End_Use_Transport_NatGas;Road Transportation;
1A3b_Road;Transport Domestic Ground;End_Use_Transport_Coal;Road Transportation;
