CountryCode;Country;ISO3;manuallyadded
141;Mongolia;MNG;FALSE
273;Montenegro;MNE;FALSE
143;Morocco;MAR;FALSE
144;Mozambique;MOZ;FALSE
28;Myanmar;MMR;FALSE
147;Namibia;NAM;FALSE
148;Nauru;NRU;FALSE
149;Nepal;NPL;FALSE
150;Netherlands;NLD;FALSE
156;New Zealand;NZL;FALSE
157;Nicaragua;NIC;FALSE
158;Niger;NER;FALSE
159;Nigeria;NGA;FALSE
160;Niue;NIU;FALSE
162;Norway;NOR;FALSE
221;Oman;OMN;FALSE
165;Pakistan;PAK;FALSE
180;Palau;PLW;FALSE
166;Panama;PAN;FALSE
168;Papua New Guinea;PNG;FALSE
169;Paraguay;PRY;FALSE
170;Peru;PER;FALSE
171;Philippines;PHL;FALSE
173;Poland;POL;FALSE
174;Portugal;PRT;FALSE
179;Qatar;QAT;FALSE
117;Republic of Korea;KOR;FALSE
146;Republic of Moldova;MDA;FALSE
183;Romania;ROU;FALSE
185;Russian Federation;RUS;FALSE
184;Rwanda;RWA;FALSE
188;Saint Kitts and Nevis;KNA;FALSE
189;Saint Lucia;LCA;FALSE
191;Saint Vincent and the Grenadines;VCT;FALSE
244;Samoa;WSM;FALSE
192;San Marino;SMR;FALSE
193;Sao Tome and Principe;STP;FALSE
194;Saudi Arabia;SAU;FALSE
195;Senegal;SEN;FALSE
272;Serbia;SRB;FALSE
196;Seychelles;SYC;FALSE
197;Sierra Leone;SLE;FALSE
200;Singapore;SGP;FALSE
199;Slovakia;SVK;FALSE
198;Slovenia;SVN;FALSE
25;Solomon Islands;SLB;FALSE
201;Somalia;SOM;FALSE
202;South Africa;ZAF;FALSE
277;South Sudan;SSD;FALSE
203;Spain;ESP;FALSE
38;Sri Lanka;LKA;FALSE
276;Sudan;SDN;FALSE
207;Suriname;SUR;FALSE
209;Swaziland;SWZ;FALSE
210;Sweden;SWE;FALSE
211;Switzerland;CHE;FALSE
212;Syrian Arab Republic;SYR;FALSE
208;Tajikistan;TJK;FALSE
216;Thailand;THA;FALSE
154;The former Yugoslav Republic of Macedonia;MKD;FALSE
176;Timor-Leste;TLS;FALSE
217;Togo;TGO;FALSE
219;Tonga;TON;FALSE
220;Trinidad and Tobago;TTO;FALSE
222;Tunisia;TUN;FALSE
223;Turkey;TUR;FALSE
213;Turkmenistan;TKM;FALSE
227;Tuvalu;TUV;FALSE
226;Uganda;UGA;FALSE
230;Ukraine;UKR;FALSE
225;United Arab Emirates;ARE;FALSE
229;United Kingdom;GBR;FALSE
215;United Republic of Tanzania;TZA;FALSE
231;United States of America;USA;FALSE
234;Uruguay;URY;FALSE
235;Uzbekistan;UZB;FALSE
155;Vanuatu;VUT;FALSE
236;Venezuela (Bolivarian Republic of);VEN;FALSE
237;Viet Nam;VNM;FALSE
249;Yemen;YEM;FALSE
251;Zambia;ZMB;FALSE
181;Zimbabwe;ZWE;FALSE
5;American Samoa;ASM;TRUE
258;Anguilla;AIA;TRUE
22;Aruba;ABW;TRUE
15;Belgium-Luxembourg;XBL;TRUE
17;Bermuda;BMU;TRUE
239;British Virgin Islands;VGB;TRUE
36;Cayman Islands;CYM;TRUE
96;China, Hong Kong SAR;HKG;TRUE
128;China, Macao SAR;MAC;TRUE
41;China, mainland;XCN;TRUE
214;China, Taiwan Province of;TWN;TRUE
51;Czechoslovakia;CSK;TRUE
62;Ethiopia PDR;XET;TRUE
65;Falkland Islands (Malvinas);FLK;TRUE
64;Faroe Islands;FRO;TRUE
69;French Guiana;GUF;TRUE
70;French Polynesia;PYF;TRUE
82;Gibraltar;GIB;TRUE
85;Greenland;GRL;TRUE
87;Guadeloupe;GLP;TRUE
88;Guam;GUM;TRUE
94;Holy See;VAT;TRUE
125;Liechtenstein;LIE;TRUE
135;Martinique;MTQ;TRUE
270;Mayotte;MYT;TRUE
142;Montserrat;MSR;TRUE
151;Netherlands Antilles;ANT;TRUE
153;New Caledonia;NCL;TRUE
163;Northern Mariana Islands;MNP;TRUE
299;Occupied Palestinian Territory;PSE;TRUE
164;Pacific Islands Trust Territory;PCI;TRUE
177;Puerto Rico;PRI;TRUE
182;Reunion;REU;TRUE
187;Saint Helena, Ascension and Tristan da Cunha;SHN;TRUE
190;Saint Pierre and Miquelon;SPM;TRUE
186;Serbia and Montenegro;SCG;TRUE
206;Sudan (former);XSD;TRUE
218;Tokelau;TKL;TRUE
224;Turks and Caicos Islands;TCA;TRUE
240;United States Virgin Islands;VIR;TRUE
228;USSR;SUN;TRUE
243;Wallis and Futuna Islands;WLF;TRUE
205;Western Sahara;ESH;TRUE
248;Yugoslav SFR;YUG;TRUE
264;Isle of Man;IMN;TRUE
161;Norfolk Island;NFK;TRUE
172;Pitcairn Islands;PCN;TRUE
260;Svalbard and Jan Mayen Islands;SJM;TRUE
259;Channel Islands;JEY;TRUE
