CountryName;CountryCode;RegionCode;RegionName;;;;
French Polynesia;PYF;24 Oceania;Oceania;;French Polynesia;PYF;OAS
Qatar                                              ;QAT;17 Middle East;Middle East;;Qatar;QAT;MEA
Réunion                                 ;REU;8 Western Africa;Eastern Africa;;Reunion;REU;AFR
Romania                                 ;ROU;12 Central Europe;Central Europe;;Romania;ROU;EUR
Russian Federation                      ;RUS;16 Russia +;Russia +;;Russian Federation;RUS;RUS
Rwanda;RWA;8 Western Africa;Eastern Africa;;Rwanda;RWA;AFR
Saudi Arabia                                     ;SAU;17 Middle East;Middle East;;Saudi Arabia;SAU;MEA
Sudan                                       ;SDN;7 Northern Africa;Eastern Africa;;Sudan;SDN;AFR
Senegal                                         ;SEN;8 Western Africa;Western Africa;;Senegal;SEN;AFR
Singapore                                       ;SGP;21 Southeastern Asia;Southeastern Asia;;Singapore;SGP;OAS
South Georgia and the South Sandwich Islands;SGS;6 Rest South America;Rest South America;;South Georgia and the South Sandwich Islands;SGS;ROW
Saint Helena                            ;SHN;8 Western Africa;Western Africa;;Saint Helena Ascension and Tristan da Cunha;SHN;AFR
Svalbard and Jan Mayen                                      ;SJM;11 Western Europe;Western Europe;;Svalbard and Jan Mayen;SJM;ROW
Solomon Islands                         ;SLB;24 Oceania;Oceania;;Solomon Islands;SLB;OAS
Sierra Leone                                    ;SLE;8 Western Africa;Western Africa;;Sierra Leone;SLE;AFR
El Salvador                                     ;SLV;4 Rest Central America;Rest Central America;;El Salvador;SLV;LAM
San Marino                                      ;SMR;11 Western Europe;Western Europe;;San Marino;SMR;ROW
Somalia;SOM;8 Western Africa;Eastern Africa;;Somalia;SOM;AFR
Saint Pierre and Miquelon    ;SPM;2 USA;USA;;Saint Pierre and Miquelon;SPM;ROW
Yugoslavia                              ;SRB;12 Central Europe;Central Europe;;Serbia;SRB;ROW
South Sudan;SSD;8 Western Africa;Western Africa;Added manually by JH;South Sudan;SSD;AFR
Sao Tome and Principe                ;STP;8 Western Africa;Western Africa;;Sao Tome and Principe;STP;AFR
Suriname                                        ;SUR;4 Rest Central America;Rest Central America;;Suriname;SUR;LAM
Slovakia;SVK;12 Central Europe;Central Europe;;Slovakia;SVK;EUR
Slovenia                                        ;SVN;12 Central Europe;Central Europe;;Slovenia;SVN;EUR
Sweden                                           ;SWE;11 Western Europe;Western Europe;;Sweden;SWE;EUR
Swaziland                                        ;SWZ;8 Western Africa;Rest Southern Africa;;Swaziland;SWZ;AFR
Sint Maarten (Dutch part);SXM;4 Rest Central America;Rest Central America;Added manually by JH;Sint Maarten (Dutch part);SXM;LAM
Seychelles                                      ;SYC;8 Western Africa;Eastern Africa;;Seychelles;SYC;AFR
Syrian Arab Republic;SYR;17 Middle East;Middle East;;Syrian Arab Republic;SYR;MEA
Turks and Caicos Islands                                    ;TCA;4 Rest Central America;Rest Central America;;Turks and Caicos Islands;TCA;LAM
Chad                                            ;TCD;8 Western Africa;Western Africa;;Chad;TCD;AFR
Togo;TGO;8 Western Africa;Western Africa;;Togo;TGO;AFR
Thailand                                         ;THA;21 Southeastern Asia;Southeastern Asia;;Thailand;THA;OAS
Tajikistan                                      ;TJK;15 Asia-Stan;Asia-Stan;;Tajikistan;TJK;MEA
Tokelau                                 ;TKL;24 Oceania;Oceania;;Tokelau;TKL;OAS
Turkmenistan                            ;TKM;15 Asia-Stan;Asia-Stan;;Turkmenistan;TKM;MEA
East Timor;TLS;22 Indonesia +;Indonesia +;;Timor-Leste;TLS;OAS
Tonga                                            ;TON;24 Oceania;Oceania;;Tonga;TON;OAS
Trinidad and Tobago                             ;TTO;4 Rest Central America;Rest Central America;;Trinidad and Tobago;TTO;LAM
Tunisia                                         ;TUN;7 Northern Africa;Northern Africa;;Tunisia;TUN;MEA
Turkey                                          ;TUR;13 Turkey;Turkey;;Turkey;TUR;ROW
Tuvalu                                  ;TUV;24 Oceania;Oceania;;Tuvalu;TUV;OAS
Taiwan, Province of China                                   ;TWN;20 China +;China +;;Taiwan Province of China;TWN;OAS
Tanzania, United Republic of;TZA;8 Western Africa;Rest Southern Africa;;Tanzania United Republic of;TZA;AFR
Uganda                                          ;UGA;8 Western Africa;Eastern Africa;;Uganda;UGA;AFR
Ukraine                                 ;UKR;14 Ukraine +;Ukraine +;;Ukraine;UKR;ROW
United States Minor Outlying Islands    ;UMI;2 USA;USA;;United States Minor Outlying Islands;UMI;OAS
Uruguay                                 ;URY;6 Rest South America;Rest South America;;Uruguay;URY;LAM
United States;USA;2 USA;USA;;United States;USA;USA
Uzbekistan                                      ;UZB;15 Asia-Stan;Asia-Stan;;Uzbekistan;UZB;MEA
Holy See (Vatican City State);VAT;11 Western Europe;Western Europe;;Holy See (Vatican City State);VAT;ROW
Saint Vincent and the Grenadines;VCT;4 Rest Central America;Rest Central America;;Saint Vincent and the Grenadines;VCT;LAM
Venezuela                                       ;VEN;6 Rest South America;Rest South America;;Venezuela Bolivarian Republic of;VEN;LAM
Virgin Islands, British                                      ;VGB;4 Rest Central America;Rest Central America;;Virgin Islands British;VGB;LAM
Virgin Islands, U.S.;VIR;4 Rest Central America;Rest Central America;;Virgin Islands U.S.;VIR;LAM
Viet Nam                              ;VNM;21 Southeastern Asia;Southeastern Asia;;Viet Nam;VNM;OAS
Vanuatu                                         ;VUT;24 Oceania;Oceania;;Vanuatu;VUT;OAS
Wallis and Futuna;WLF;24 Oceania;Oceania;;Wallis and Futuna;WLF;OAS
Samoa                          ;WSM;24 Oceania;Oceania;;Samoa;WSM;OAS
Yemen                                           ;YEM;17 Middle East;Middle East;;Yemen;YEM;MEA
South Africa                                    ;ZAF;10 South Africa;South Africa;;South Africa;ZAF;ROW
Zambia                                          ;ZMB;8 Western Africa;Rest Southern Africa;;Zambia;ZMB;AFR
Zimbabwe                                        ;ZWE;8 Western Africa;Rest Southern Africa;;Zimbabwe;ZWE;AFR
