"CountryName";"CountryCode";"RegionCode";"RegionAbbreviation";"gainscode"
"Comoros";"COM";"East Africa";"EAF";"AFRI_EAST"
"Cape Verde";"CPV";"West Africa";"WAF";"AFRI_WEST"
"Costa Rica";"CRI";"Central America";"RCAM";"CEAM_REST"
"Cayman Islands";"CYM";"Central America";"RCAM";"CEAM_REST"
"Cyprus";"CYP";"Central Europe";"CEU";"CENT_EURO"
"Czech Republic";"CZE";"Central Europe";"CEU";"CENT_EURO"
"Germany";"DEU";"West Europe";"WEU";"WEST_EURO"
"Djibouti";"DJI";"East Africa";"EAF";"AFRI_EAST"
"Dominica";"DMA";"Central America";"RCAM";"CEAM_REST"
"Denmark";"DNK";"West Europe";"WEU";"WEST_EURO"
"Dominican Republic";"DOM";"Central America";"RCAM";"CEAM_REST"
"Algeria";"DZA";"North Africa";"NAF";"AFRI_NORT"
"Ecuador";"ECU";"Rest of South-America";"RSAM";"LAME_REST"
"Egypt";"EGY";"North Africa";"NAF";"AFRI_NORT"
"Eritrea";"ERI";"East Africa";"EAF";"AFRI_EAST"
"Western Sahara";"ESH";"North Africa";"NAF";"AFRI_NORT"
"Spain";"ESP";"West Europe";"WEU";"WEST_EURO"
"Estonia";"EST";"Central Europe";"CEU";"CENT_EURO"
"Ethiopia";"ETH";"East Africa";"EAF";"AFRI_EAST"
"Finland";"FIN";"West Europe";"WEU";"WEST_EURO"
"Fiji";"FJI";"Oceania";"OCE";"OCEA_WHOL"
"Falkland Islands (Malvinas)";"FLK";"Rest of South-America";"RSAM";"LAME_REST"
"France";"FRA";"West Europe";"WEU";"WEST_EURO"
"Faroe Islands";"FRO";"West Europe";"WEU";"WEST_EURO"
"Micronesia, Federated States of";"FSM";"South East Asia";"OCE";"OCEA_WHOL"
"Gabon";"GAB";"West Africa";"WAF";"AFRI_WEST"
"United Kingdom";"GBR";"West Europe";"WEU";"WEST_EURO"
"Georgia";"GEO";"Russia";"RUS";"RUSS_PLUS"
"Ghana";"GHA";"West Africa";"WAF";"AFRI_WEST"
"Gibraltar";"GIB";"West Europe";"WEU";"WEST_EURO"
"Guinea";"GIN";"West Africa";"WAF";"AFRI_WEST"
"Guadeloupe";"GLP";"Central America";"RCAM";"CEAM_REST"
"Gambia";"GMB";"West Africa";"WAF";"AFRI_WEST"
"Guinea-Bissau";"GNB";"West Africa";"WAF";"AFRI_WEST"
"Equatorial Guinea";"GNQ";"West Africa";"WAF";"AFRI_WEST"
"Greece";"GRC";"West Europe";"WEU";"WEST_EURO"
"Grenada";"GRD";"Central America";"RCAM";"CEAM_REST"
"Guatemala";"GTM";"Central America";"RCAM";"CEAM_REST"
"French Guiana";"GUF";"Rest of South-America";"RSAM";"LAME_REST"
"Guyana";"GUY";"Rest of South-America";"RSAM";"LAME_REST"
"Hong Kong";"HKG";"China+";"CHN";"CHIN_PLUS"
"Honduras";"HND";"Central America";"RCAM";"CEAM_REST"
"Croatia";"HRV";"Central Europe";"CEU";"CENT_EURO"
"Haiti";"HTI";"Central America";"RCAM";"CEAM_REST"
"Hungary";"HUN";"Central Europe";"CEU";"CENT_EURO"
"Indonesia";"IDN";"Indonesia";"INDO";"INDO_PLUS"
"India";"IND";"India";"INDIA";"INDI_WHOL"
"Ireland";"IRL";"West Europe";"WEU";"WEST_EURO"
"Iran, Islamic Republic of";"IRN";"Middle East";"ME";"MIDD_EAST"
"Iraq";"IRQ";"Middle East";"ME";"MIDD_EAST"
"Iceland";"ISL";"West Europe";"WEU";"WEST_EURO"
"Israel";"ISR";"Middle East";"ME";"MIDD_EAST"
"Italy";"ITA";"West Europe";"WEU";"WEST_EURO"
"Jamaica";"JAM";"Central America";"RCAM";"CEAM_REST"
"Jordan";"JOR";"Middle East";"ME";"MIDD_EAST"
"Japan";"JPN";"Japan";"JAP";"JAPA_WHOL"
"Kazakhstan";"KAZ";"Kazachstan";"STAN";"ASIA_STAN"
"Kenya";"KEN";"East Africa";"EAF";"AFRI_EAST"
"Kyrgyzstan";"KGZ";"Kazachstan";"STAN";"ASIA_STAN"
"Cambodia";"KHM";"South East Asia";"SEAS";"SOEA_ASIA"
"Kiribati";"KIR";"Oceania";"OCE";"OCEA_WHOL"
"Saint Kitts and Nevis";"KNA";"Central America";"RCAM";"CEAM_REST"
"Korea, Republic of";"KOR";"Korea";"KOR";"KORE_AALL"
"Kuwait";"KWT";"Middle East";"ME";"MIDD_EAST"
"Lao People's Democratic Republic";"LAO";"South East Asia";"SEAS";"SOEA_ASIA"
"Lebanon";"LBN";"Middle East";"ME";"MIDD_EAST"
"Liberia";"LBR";"West Africa";"WAF";"AFRI_WEST"
"Libya";"LBY";"North Africa";"NAF";"AFRI_NORT"
"Saint Lucia";"LCA";"Central America";"RCAM";"CEAM_REST"
"Liechtenstein";"LIE";"West Europe";"WEU";"WEST_EURO"
"Sri Lanka";"LKA";"Rest of South Asia";"RSAS";"SOUA_REST"
"Lesotho";"LSO";"Rest of South Africa";"RSAF";"SAFR_WHOL"
"Lithuania";"LTU";"Central Europe";"CEU";"CENT_EURO"
"Luxembourg";"LUX";"West Europe";"WEU";"WEST_EURO"
"Latvia";"LVA";"Central Europe";"CEU";"CENT_EURO"
"Macao";"MAC";"China+";"CHN";"CHIN_PLUS"
"Morocco";"MAR";"North Africa";"NAF";"AFRI_NORT"
"Monaco";"MCO";"West Europe";"WEU";"WEST_EURO"
"Moldova, Republic of";"MDA";"Ukraine region";"UKR";"UKRA_PLUS"
"Madagascar";"MDG";"East Africa";"EAF";"AFRI_EAST"
"Maldives";"MDV";"Rest of South Asia";"RSAS";"SOUA_REST"
"Mexico";"MEX";"Mexico";"MEX";"MEXI_WHOL"
"Marshall Islands";"MHL";"Oceania";"OCE";"OCEA_WHOL"
"Macedonia, the former Yugoslav Republic of";"MKD";"Central Europe";"CEU";"CENT_EURO"
"Mali";"MLI";"West Africa";"WAF";"AFRI_WEST"
"Malta";"MLT";"West Europe";"WEU";"WEST_EURO"
"Myanmar";"MMR";"South East Asia";"SEAS";"SOEA_ASIA"
"Montenegro";"MNE";"Central Europe";"CEU";"CENT_EURO"
"Mongolia";"MNG";"China+";"CHN";"CHIN_PLUS"
"Northern Mariana Islands";"MNP";"Oceania";"OCE";"OCEA_WHOL"
"Mozambique";"MOZ";"Rest of South Africa";"RSAF";"SAFR_WHOL"
"Mauritania";"MRT";"West Africa";"WAF";"AFRI_WEST"
"Montserrat";"MSR";"Central America";"RCAM";"CEAM_REST"
"Martinique";"MTQ";"Central America";"RCAM";"CEAM_REST"
"Mauritius";"MUS";"East Africa";"EAF";"AFRI_EAST"
"Malawi";"MWI";"Rest of South Africa";"RSAF";"SAFR_WHOL"
"Malaysia";"MYS";"South East Asia";"SEAS";"SOEA_ASIA"
"Namibia";"NAM";"Rest of South Africa";"RSAF";"SAFR_WHOL"
"New Caledonia";"NCL";"Oceania";"OCE";"OCEA_WHOL"
"Niger";"NER";"West Africa";"WAF";"AFRI_WEST"
"Nigeria";"NGA";"West Africa";"WAF";"AFRI_WEST"
"Nicaragua";"NIC";"Central America";"RCAM";"CEAM_REST"
"Niue";"NIU";"Oceania";"OCE";"OCEA_WHOL"
"Netherlands";"NLD";"West Europe";"WEU";"WEST_EURO"
"Norway";"NOR";"West Europe";"WEU";"WEST_EURO"
"Nepal";"NPL";"Rest of South Asia";"RSAS";"SOUA_REST"
"Nauru";"NRU";"Oceania";"OCE";"OCEA_WHOL"
"New Zealand";"NZL";"Oceania";"OCE";"OCEA_WHOL"
"Oman";"OMN";"Middle East";"ME";"MIDD_EAST"
"Pakistan";"PAK";"Rest of South Asia";"RSAS";"SOUA_REST"
"Panama";"PAN";"Central America";"RCAM";"CEAM_REST"
"Pitcairn";"PCN";"Oceania";"OCE";"OCEA_WHOL"
"Peru";"PER";"Rest of South-America";"RSAM";"LAME_REST"
"Philippines";"PHL";"South East Asia";"SEAS";"SOEA_ASIA"
"Palau";"PLW";"Oceania";"OCE";"OCEA_WHOL"
"Papua New Guinea";"PNG";"Indonesia";"INDO";"INDO_PLUS"
"Poland";"POL";"Central Europe";"CEU";"CENT_EURO"
"Puerto Rico";"PRI";"Central America";"RCAM";"CEAM_REST"
"Korea, Democratic People's Republic of";"PRK";"Korea";"KOR";"KORE_AALL"
"Portugal";"PRT";"West Europe";"WEU";"WEST_EURO"
"Paraguay";"PRY";"Rest of South-America";"RSAM";"LAME_REST"
"French Polynesia";"PYF";"Oceania";"OCE";"OCEA_WHOL"
"Qatar";"QAT";"Middle East";"ME";"MIDD_EAST"
"Reunion";"REU";"East Africa";"EAF";"AFRI_EAST"
"Romania";"ROU";"Central Europe";"CEU";"CENT_EURO"
"Russian Federation";"RUS";"Russia";"RUS";"RUSS_PLUS"
"Rwanda";"RWA";"East Africa";"EAF";"AFRI_EAST"
"Saudi Arabia";"SAU";"Middle East";"ME";"MIDD_EAST"
"Sudan";"SDN";"East Africa";"EAF";"AFRI_EAST"
"Senegal";"SEN";"West Africa";"WAF";"AFRI_WEST"
"Singapore";"SGP";"South East Asia";"SEAS";"SOEA_ASIA"
"Saint Helena, Ascension and Tristan da Cunha";"SHN";"West Africa";"WAF";"AFRI_WEST"
"Solomon Islands";"SLB";"Oceania";"OCE";"OCEA_WHOL"
"Sierra Leone";"SLE";"West Africa";"WAF";"AFRI_WEST"
"El Salvador";"SLV";"Central America";"RCAM";"CEAM_REST"
"San Marino";"SMR";"West Europe";"WEU";"WEST_EURO"
"Somalia";"SOM";"East Africa";"EAF";"AFRI_EAST"
"Saint Pierre and Miquelon";"SPM";"USA";"USA";"USAM_WHOL"
"Serbia";"SRB";"Central Europe";"CEU";"CENT_EURO"
"Sao Tome and Principe";"STP";"West Africa";"WAF";"AFRI_WEST"
"Suriname";"SUR";"Rest of South-America";"RSAM";"LAME_REST"
"Slovakia";"SVK";"Central Europe";"CEU";"CENT_EURO"
"Slovenia";"SVN";"Central Europe";"CEU";"CENT_EURO"
"Sweden";"SWE";"West Europe";"WEU";"WEST_EURO"
"Swaziland";"SWZ";"Rest of South Africa";"RSAF";"SAFR_WHOL"
"Seychelles";"SYC";"East Africa";"EAF";"AFRI_EAST"
"Syrian Arab Republic";"SYR";"Middle East";"ME";"MIDD_EAST"
"Turks and Caicos Islands";"TCA";"Central America";"RCAM";"CEAM_REST"
"Chad";"TCD";"West Africa";"WAF";"AFRI_WEST"
"Togo";"TGO";"West Africa";"WAF";"AFRI_WEST"
"Thailand";"THA";"South East Asia";"SEAS";"SOEA_ASIA"
"Tajikistan";"TJK";"Kazachstan";"STAN";"ASIA_STAN"
"Tokelau";"TKL";"Oceania";"OCE";"OCEA_WHOL"
"Turkmenistan";"TKM";"Kazachstan";"STAN";"ASIA_STAN"
"Timor-Leste";"TLS";"Indonesia";"INDO";"INDO_PLUS"
"Tonga";"TON";"Oceania";"OCE";"OCEA_WHOL"
"Trinidad and Tobago";"TTO";"Central America";"RCAM";"CEAM_REST"
"Tunisia";"TUN";"North Africa";"NAF";"AFRI_NORT"
"Turkey";"TUR";"Turkey";"TUR";"TURK_WHOL"
"Tuvalu";"TUV";"Oceania";"OCE";"OCEA_WHOL"
"Taiwan, Province of China";"TWN";"China+";"CHN";"CHIN_PLUS"
"Tanzania, United Republic of";"TZA";"Rest of South Africa";"RSAF";"SAFR_WHOL"
"Uganda";"UGA";"East Africa";"EAF";"AFRI_EAST"
"Ukraine";"UKR";"Ukraine region";"UKR";"UKRA_PLUS"
"Uruguay";"URY";"Rest of South-America";"RSAM";"LAME_REST"
"United States";"USA";"USA";"USA";"USAM_WHOL"
"Uzbekistan";"UZB";"Kazachstan";"STAN";"ASIA_STAN"
"Holy See (Vatican City State)";"VAT";"West Europe";"WEU";"WEST_EURO"
"Saint Vincent and the Grenadines";"VCT";"Central America";"RCAM";"CEAM_REST"
"Venezuela, Bolivarian Republic of";"VEN";"Rest of South-America";"RSAM";"LAME_REST"
"Virgin Islands, British";"VGB";"Central America";"RCAM";"CEAM_REST"
"Virgin Islands, U.S.";"VIR";"Central America";"RCAM";"CEAM_REST"
"Viet Nam";"VNM";"South East Asia";"SEAS";"SOEA_ASIA"
"Vanuatu";"VUT";"Oceania";"OCE";"OCEA_WHOL"
"Wallis and Futuna";"WLF";"Oceania";"OCE";"OCEA_WHOL"
"Samoa";"WSM";"Oceania";"OCE";"OCEA_WHOL"
"Yemen";"YEM";"Middle East";"ME";"MIDD_EAST"
"South Africa";"ZAF";"South Africa";"SAF";"SAFR_WHOL"
"Zambia";"ZMB";"Rest of South Africa";"RSAF";"SAFR_WHOL"
"Zimbabwe";"ZWE";"Rest of South Africa";"RSAF";"SAFR_WHOL"
"Aland Islands";"ALA";"West Europe";"WEU";"WEST_EURO"
"Antarctica";"ATA";"Rest of South-America";"RSAM";"LAME_REST"
"French Southern Territories";"ATF";"Rest of South Asia";"RSAS";"SOUA_REST"
"Antigua and Barbuda";"ATG";"Central America";"RCAM";"CEAM_REST"
"Bonaire, Sint Eustatius and Saba";"BES";"Central America";"RCAM";"CEAM_REST"
"Saint Barthelemy";"BLM";"Central America";"RCAM";"CEAM_REST"
"Bouvet Island";"BVT";"Rest of South-America";"RSAM";"LAME_REST"
"Cocos (Keeling) Islands";"CCK";"Oceania";"OCE";"OCEA_WHOL"
"Cuba";"CUB";"Central America";"RCAM";"CEAM_REST"
"Curacao";"CUW";"Central America";"RCAM";"CEAM_REST"
"Christmas Island";"CXR";"Oceania";"OCE";"OCEA_WHOL"
"Guernsey";"GGY";"West Europe";"WEU";"WEST_EURO"
"Greenland";"GRL";"West Europe";"WEU";"WEST_EURO"
"Guam";"GUM";"Indonesia";"INDO";"INDO_PLUS"
"Heard Island and McDonald Islands";"HMD";"Rest of South-America";"RSAM";"LAME_REST"
"Isle of Man";"IMN";"West Europe";"WEU";"WEST_EURO"
"British Indian Ocean Territory";"IOT";"Rest of South Asia";"RSAS";"SOUA_REST"
"Jersey";"JEY";"West Europe";"WEU";"WEST_EURO"
"Saint Martin (French part)";"MAF";"Central America";"RCAM";"CEAM_REST"
"Mayotte";"MYT";"Rest of South Africa";"RSAF";"SAFR_WHOL"
"Norfolk Island";"NFK";"Oceania";"OCE";"OCEA_WHOL"
"Palestine, State of";"PSE";"Middle East";"ME";"MIDD_EAST"
"South Georgia and the South Sandwich Islands";"SGS";"Rest of South-America";"RSAM";"LAME_REST"
"Svalbard and Jan Mayen";"SJM";"West Europe";"WEU";"WEST_EURO"
"South Sudan";"SSD";"East Africa";"EAF";"AFRI_EAST"
"Sint Maarten (Dutch part)";"SXM";"Central America";"RCAM";"CEAM_REST"
"United States Minor Outlying Islands";"UMI";"Rest of South Asia";"RSAS";"SOUA_REST"
